instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.2,anomaly_0.2
30,0,0.0,5610,0.7531212243254128,7449,,-0.0004194354268537426,-1
31,0,0.0,1900,0.7235338918507236,2626,,-0.13912789870563302,-1
32,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
33,0,0.0,5950,0.7542147293700089,7889,,0.012530520411943413,1
34,0,0.0,5570,0.7536192666756867,7391,,0.03158699745277099,1
35,0,0.0,5540,0.7533315202610824,7354,,0.024238311760197362,1
36,0,0.0,5540,0.7531266992930941,7356,,-0.0004194354268537426,-1
37,0,0.0,5560,0.7533875338753387,7380,,0.02851172671228741,1
38,0,0.0,5550,0.7498986623429267,7401,,-0.11737401232977551,-1
39,0,0.0,5550,0.7414829659318637,7485,,-0.13912789870563302,-1
40,0,0.0,5560,0.7531834191276077,7382,,0.004589022145609134,1
41,0,0.0,5880,0.7544264819091608,7794,,0.012530520411943413,1
42,0,0.0,5910,0.7544038805208068,7834,,0.012530520411943413,1
43,0,0.0,5940,0.7539027795405508,7879,,0.012530520411943413,1
44,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
45,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
46,0,0.0,5950,0.7542147293700089,7889,,0.012530520411943413,1
47,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
48,0,0.0,5530,0.7533033646642147,7341,,0.015920895039994498,1
49,0,0.0,5550,0.7533595764897516,7367,,0.026815167061754297,1
50,0,0.0,5550,0.7533595764897516,7367,,0.026815167061754297,1
51,0,0.0,5550,0.7531551092414167,7369,,0.0016432787084306733,1
52,0,0.0,5550,0.7533595764897516,7367,,0.026815167061754297,1
53,0,0.0,5550,0.7531551092414167,7369,,0.0016432787084306733,1
54,0,0.0,5540,0.7529219896711062,7358,,-0.017986889401502837,-1
55,0,0.0,5530,0.7411875083768932,7461,,-0.13912789870563302,-1
56,0,0.0,5540,0.7529219896711062,7358,,-0.017986889401502837,-1
57,0,0.0,5530,0.7533033646642147,7341,,0.015920895039994498,1
58,0,0.0,5540,0.7531266992930941,7356,,-0.0004194354268537426,-1
59,0,0.0,5540,0.7533315202610824,7354,,0.024238311760197362,1
60,0,0.0,5550,0.7531551092414167,7369,,0.0016432787084306733,1
61,0,0.0,5550,0.7533595764897516,7367,,0.026815167061754297,1
62,0,0.0,5530,0.7530981887511916,7343,,-0.003764612828366487,-1
63,0,0.0,5530,0.7533033646642147,7341,,0.015920895039994498,1
64,0,0.0,5540,0.7533315202610824,7354,,0.024238311760197362,1
65,0,0.0,5550,0.7533595764897516,7367,,0.026815167061754297,1
66,0,0.0,5530,0.7533033646642147,7341,,0.015920895039994498,1
67,0,0.0,5520,0.7532751091703057,7328,,0.009545957957695361,1
68,0,0.0,5540,0.7533315202610824,7354,,0.024238311760197362,1
69,0,0.0,5530,0.7530981887511916,7343,,-0.003764612828366487,-1
70,0,0.0,5890,0.7545477837560851,7806,,0.012530520411943413,1
71,0,0.0,5950,0.7541191381495564,7890,,0.012530520411943413,1
72,0,0.0,5950,0.7494646680942184,7939,,-0.12872316943355944,-1
73,0,0.0,5840,0.7508356904088455,7778,,-0.09257903746527474,-1
74,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
75,0,0.0,2440,0.7322929171668667,3332,,-0.13912789870563302,-1
76,0,0.0,5870,0.7542078889888217,7783,,0.012530520411943413,1
77,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
78,0,0.0,5960,0.7542394330549228,7902,,0.012530520411943413,1
79,0,0.0,5920,0.7545245985215396,7846,,0.012530520411943413,1
80,0,0.0,5940,0.7543815087630176,7874,,0.012530520411943413,1
81,0,0.0,5890,0.7543545081967213,7808,,0.012530520411943413,1
82,0,0.0,5880,0.7539428131811771,7799,,0.012530520411943413,1
