instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.05,anomaly_0.05,anomaly_score_0.1,anomaly_0.1,anomaly_score_0.15,anomaly_0.15,anomaly_score_0.2,anomaly_0.2,anomaly_score_0.25,anomaly_0.25,anomaly_score_0.3,anomaly_0.3,anomaly_score_0.35,anomaly_0.35,label,dominant_node
36,2,0.0002627085248916327,5682,0.7463549192171286,7613,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
37,3,0.00046823786483533636,4763,0.7434056500702357,6407,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
38,17,0.0024330900243309003,5237,0.749534850436525,6987,1.0,-0.03502010082160967,-1,-0.08044493091529281,-1,-0.10724476402874483,-1,-0.12872316943355944,-1,-0.13901526800481678,-1,-0.1403583211092284,-1,-0.1437777603040179,-1,1,"""MCDData"".""Gripper_Z_Speed"""
39,20,0.0026917900403768506,5580,0.7510094212651414,7430,1.0,0.005959484573339502,1,-0.03946534552034364,-1,-0.06626517863379566,-1,-0.08774358403861027,-1,-0.09803568260986761,-1,-0.09937873571427924,-1,-0.10279817490906873,-1,1,"""MCDData"".""Gripper_Z_Speed"""
40,3,0.00039645830580150654,5613,0.7417734901546187,7567,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
41,6,0.000784313725490196,5716,0.7471895424836601,7650,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
42,1,0.00014781966001478197,5051,0.7466371027346637,6765,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
43,6,0.0007540530350634661,5956,0.748523312806334,7957,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
44,3,0.00038870173620108835,5773,0.7479917076962944,7718,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
45,3,0.0004421518054532056,5063,0.7462048636698599,6785,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
